Period,Nationality,Level,Composer,Piece Name,Book's name,future,time,future,14,13,12,11,10,09,08,07,06,05,04,03,02,01,00,99,98,97,96,95,94,93
23 Pedagogy,German ,Elementary,Breslaur,Cuckoo in G Major,"Discovering Piano Literature, Book 2, Alfred AP.14575, p.28, 16 bars",,,,,,31rELE2,,,,,,,2D,,,,,,,,,,,,
22 USA,American ,Advanced,Brouwer,Dancing Over Hot Coals,,,,,,,,,,,,,usADV,,,,,,,,,,,,,
,American ,Junior,Brown,Calypso Carnival,"Can You Imagine, Book 2, FJH Music Company Inc, FJ.FF1223, P.20-23",,,,62usJR6,,,,,,,,,,,,,,,,,,,,,
,American ,Junior,Brown,Summer Song,"Can You Imagine, Book 2, FJH Music Company Inc, FJ.FF1223, P.3-5",,,,62usJR4,,,,,,,,,,,,,,,,,,,,,
,American ,Junior,Brown,Jazz Street,"Can You Imagine, Book 2, FJH Music Company Inc, FJ.FF1223, P.8-12",,,,62usJR5,,,,,,,,,,,,,,,,,,,,,
,American ,Junior,Brown,March,"Silhouettes for Piano, Volume 1, FJH Music Company Inc, FJ.FF1279, P.16-18, Repeat: 1st time: Local; 2nd time: 8vo for R.H.",,,,62usJR3,,,,,,,,,,,,,,,,,,,,,
,American ,Junior,Brown,Valse,"Silhouettes for Piano, Volume 1, FJH Music Company Inc, FJ.FF1279, P.8-11",,,,62usJR2,,,,,,,,,,,,,,,,,,,,,
23 Pedagogy,Austrian ,Duet Ele,Bruckner,"Andante in G Major, No.1 from Two Little Piece",,,,,,,,,,,duEle,,,,,,,,,,,,,,,
23 Pedagogy,Swiss,Elementary,Buhler,When Three Hens Go to the Fields,"Guild Repertoire Elementary A and B, Alfred Music Publishing AP.0639, P.27, 24 bars, in C Major",,,,31rELE4,,,,,,,,2B,,,,,,,,,,,,,
16 Early Romantic,German ,Elementary,Burgmuller,Op.100 #6 Progress in C Major," Burgmuller 25 Progressive Pieces Op.100, Alfred AP.608, (p.10,no repeat but follow D.C. al fine)",,,,,,,3rELE3,,,,,,rJR,,,rJR,,rJR + 3C,,,,,,,
16 Early Romantic,German ,Elementary,Burgmuller,Op.100 #10 Tender Flower in D Major," Burgmuller 25 Progressive Pieces Op.100, Alfred AP.608, (p.16-17)",,,,,,,3rELE4,,,,,,rJR,,,rJR,,rJR,,,,,,,
16 Early Romantic,German ,Elementary,Burgmuller,Op.100 #1 Sincerity in C Major," Burgmuller 25 Progressive Pieces Op.100, Alfred AP.608, (p.2-3)",,,,,,,3rELE1,,,,,,rJR,,,rJR,,rJR,,,,,,,
16 Early Romantic,German ,Elementary,Burgmuller,Op.100 #17 Chatterbox in F Major," Burgmuller 25 Progressive Pieces Op.100, Alfred AP.608, (p.30-31)",,,,,,,3rELE5,,,,,,,,,,,,,,,,,,
16 Early Romantic,German ,Elementary,Burgmuller,Op.100 #21 Angels' Voices in G Major," Burgmuller 25 Progressive Pieces Op.100, Alfred AP.608, (p.38-39)",,,,,,,3rELE6,,,,,,rJR,,,rJR,,rJR,,,,,,,
16 Early Romantic,German ,Elementary,Burgmuller,Op.100 #4 The Little Party in C Major," Burgmuller 25 Progressive Pieces Op.100, Alfred AP.608, (p.8,follow D.S. al fine)",,,,,,,3rELE2,,,,,,rJR,,,rJR,,rJR,,,,,,,
,German ,Intermediate,Burgmuller,"Op.105 #5, Allegro in B Flat Major","Burgmuller 12 Brilliant and Melodius Studies Op.105 for the piano, Alfred AP.4828, P.12-13",,2,,33rINT3,,,,,,,,,,,,,,,,,,,,,
,German ,Intermediate,Burgmuller,"Op.105 #7, Allegro vivo in D Minor","Burgmuller 12 Brilliant and Melodius Studies Op.105 for the piano, Alfred AP.4828, P.20-23",,2,,33rINT4,,,,,,,,,,,,,,,,,,,,,
,German ,Intermediate,Burgmuller,"Op.105 #8, Allegro in A Major","Burgmuller 12 Brilliant and Melodius Studies Op.105 for the piano, Alfred AP.4828, P.24-27",,3,,33rINT5,,,,,,,,,,,,,,,,,,,,,
,German ,Intermediate,Burgmuller,"Op.105 #10, Allegro vivace in A Minor","Burgmuller 12 Brilliant and Melodius Studies Op.105 for the piano, Alfred AP.4828, P.30-32",,2,,33rINT6,,,,,,,,,,,,,,,,,,,,,
,German ,Intermediate,Burgmuller,"Op.105 #2, Allegro agitato in C Minor","Burgmuller 12 Brilliant and Melodius Studies Op.105 for the piano, Alfred AP.4828, P.6-7",,2,,33rINT1,,,,,,,,,,,,,,,,,,,,,
,German ,Intermediate,Burgmuller,"Op.105 #3, Allegro in F Major","Burgmuller 12 Brilliant and Melodius Studies Op.105 for the piano, Alfred AP.4828, P.8-9",,2,,33rINT2,,,,,,,,,,,,,,,,,,,,,
,German ,Junior,Burgmuller,"Op.100 #9, The Chase","Burgmuller 25 Progressive Pieces Op.100, Alfred AP.608, P.13-15, No Repeats, in C Major",,,,32rJR1,,,,,,,,,,,,,,,,,,,,,
16 Early Romantic,German ,Junior,Burgmuller,"Op.100 #12, The Farewell","Burgmuller 25 Progressive Pieces Op.100, Alfred AP.608, P.20-21, No Repeats",,,,32rJR2,,,,,,,rJR,,,,,rJR,,rJR,,,,,,,
16 Early Romantic,German ,Junior,Burgmuller,"Op.100 #20, Tarantella","Burgmuller 25 Progressive Pieces Op.100, Alfred AP.608, P.35-37 No repeats",,,,32rJR3,,,,,,,rJR,,,,,rJR,,rJR,,,,,,,
16 Early Romantic,German ,Junior,Burgmuller,"Op.100 #23, The Return","Burgmuller 25 Progressive Pieces Op.100, Alfred AP.608, P.42-43 No repeats",,,,32rJR4,,,,,,,rJR,,,,,rJR,,rJR,,,,,,,
16 Early Romantic,German ,Junior,Burgmuller,"Op.100 #24, The Swallow","Burgmuller 25 Progressive Pieces Op.100, Alfred AP.608, P.44-45, No Repeats",,,,32rJR5,,,,,,,rJR,,rJR,,,rJR,,rJR,,,,,,,
16 Early Romantic,German ,Junior,Burgmuller,"Op.100 #25, The Knight Errant","Burgmuller 25 Progressive Pieces Op.100, Alfred AP.608, P.46-48 No repeats, cut bars 25 to 32 (after bar 24, go straight to bar 33) make a total 46 bars.",,,,32rJR6,,,,,,,rJR,,,,,rJR,,rJR,,,,,,,
16 Early Romantic,German ,Junior,Burgmuller,Op.100 #1-25 Any piece ,,,,,,,,,,,,,,,,,rJR,,rJR,,,,,,,
16 Early Romantic,German ,Junior,Burgmuller,Op.100 #15 Ballade in C Minor,,,,,,,,,,,,rJR,,rJR,,,rJR,3C,rJR,,,,,,,
16 Early Romantic,German ,Junior,Burgmuller,Op.100 #16 Sorrow,,,,,,,,,,,,rJR,,rJR,,,rJR,,rJR,,,,,,,
16 Early Romantic,German ,Junior,Burgmuller,Op.100 #2 Arabesque ,,,,,,,,,,,,rJR,,rJR,3C,,rJR,,rJR,,,,,,,
16 Early Romantic,German ,Junior,Burgmuller,Op.100 #3 Pastorale,,,,,,,,,,,,rJR,,,,,rJR,,rJR,,,,,,,
16 Early Romantic,German ,Junior,Burgmuller,Op.100 #5 Innocence,,,,,,,,,,,,rJR,,,,,rJR,,rJR,,,,,,,
16 Early Romantic,German ,Junior,Burgmuller,Op.100 #7 The Clear Stream,,,,,,,,,,,,rJR,,rJR,,,rJR,,rJR,,4C,,,,,
16 Early Romantic,German ,Junior,Burgmuller,Op.100 #8 Gracefulness,,,,,,,,,,,,rJR,,,,,rJR,,rJR,,,,,,,
16 Early Romantic,German ,Adv-Intermediate,Burgmuller,Op.109 #1 Confidence in C Major,,,,,,,,,,rA-I,,,,,,,,,,rSR,,,,,,
16 Early Romantic,German ,Adv-Intermediate,Burgmuller,Op.109 #12 Awakening in the Wood in F Major,,,,,,,,,,rA-I,,,,,,,,,,rSR,,,,,,
16 Early Romantic,German ,Adv-Intermediate,Burgmuller,Op.109 #13 The Storm in D Minor,,,,,,,,,,rA-I,,,,,,,,,,rSR,,,,,,
16 Early Romantic,German ,Adv-Intermediate,Burgmuller,Op.109 #14 Song of the Gondolier in A Major,,,,,,,,,,rA-I,,,,,,,,,,rSR,,,,,,
16 Early Romantic,German ,Adv-Intermediate,Burgmuller,Op.109 #16 Parting in E Flat Major,,,,,,,,,,rA-I,,,,,,,,,,rSR,,,,,,
16 Early Romantic,German ,Adv-Intermediate,Burgmuller,Op.109 #2 The Pearls in C Major,,,,,,,,,,rA-I,,,,,,,,,,rSR,,,,,,
16 Early Romantic,German ,Adv-Intermediate,Burgmuller,Op.109 #3 The Sheperd's Return in G Major,,,,,,,,,,rA-I,,,,,,,,,,rSR,,,,,,
16 Early Romantic,German ,,Burgmuller,Op.109 #6 in C Major,,,,,,,,,,,,,,,,,,,,,,,,,,
16 Early Romantic,German ,,Burgmuller,Op.109 #7 in F Major,,,,,,,,,,,,,,,,,,,,,,,,,,
16 Early Romantic,German ,Intermediate,Burgmuller,Op.109 #7 Lullaby ,,,,,,,,,,,,,,,,,,,,rSR,,4C,,,,
16 Early Romantic,German ,Adv-Intermediate,Burgmuller,Op.109 #8 Agigato in E Minor,,,,,,,,,,rA-I,,,,,,,,,,rSR,,,,,,
22 USA,American ,Senior,Burleigh,On Bended Knees,,,,,,,,,,,,usSR,,,,,,,,,,,,,,
23 Pedagogy,American ,Elementary,Burnam,At the Typewriter in C Major,"Summy Solo Piano Package, No.101 - Elementary AP#0652, p.10-11, 24 bars",,,,,,002A,,,,,,,,,,,,,,,,,,,
23 Pedagogy,German ,Elementary,Buttstedt,Air in F Major,"Harris Piano Classics Vol.1/a, FH.HPA59, P.5, 12 bars",,,,11bELE2,,,,,,2A,,,,,,,,,,,,,,,
23 Pedagogy,American ,Elementary,Carley,Fox and Geese in A Minor,"Summy Solo Piano Package, No.101 - Elementary AP#0652, p.18-19, 32 bars",,,,,,002B,,,,,,,,,,,,,,,,,,,
22 USA,American ,Senior,Carpenter,Polonaise Americaine,,,,,,,,,,,,,,usSR,,,,,,,,,,,,
,English ,Elementary,Carr,Gavotte in C Major ,"Discovering Piano Literature, Book 1, Alfred AP.14574, p.12: 16 bars",,,,,21clELE3,,,,,,,,,,,,,,,,,,,,
23 Pedagogy,American,Elementary,Carter,Walking on Stilts in C Major,"Guild Repertoire Elementary A & B, Alfred AP. 0639, p.12 (8 bars)",,,,,,,4cELE1,,,,,,,,,,,,,,,,,,
22 USA,American,Senior,Chadwick,Scherzino - Chadwick,,,,,,,,,,,,,,usSR,,,,,,,,,,,,
16 Chinese,Chinese,Intermediate,Chen 陈,Etude in G Major 练习曲,"ZhongGuoFengGeGangQinLianXiQu 60 Shou中国风格钢琴练习曲60首, ISBN 9787806927199 上海音乐学院出版社, P.48-50",,,,73chINT4,,,,,,,,,,,,,,,,,,,,,
17 Chinese,Chinese,Intermediate,Chen 陈,Double Note Etude 练习曲,"ZhongGuoFengGeGangQinLianXiQu 60 Shou中国风格钢琴练习曲60首, ISBN 9787806927199 上海音乐学院出版社, P.53-54",,,,73chINT5,,,,,,,,,,,,,,,,,,,,,
18 Chinese,Chinese,Senior,Chen 陳,The Street Merchant 卖杂货,Selection from Chinese Classical Music for Piano – ShiDaiWenYi Publishing House 中国钢琴名曲曲库1 –时代文艺出版社 (p.50-53),,,,,,,,chSR3a,,,,,,,,,,,,,,,,,
19 Chinese,Chinese,Senior,Chen 陳,Thunder in Dry Season旱天雷,Selection from Chinese Classical Music for Piano – ShiDaiWenYi Publishing House 中国钢琴名曲曲库1 –时代文艺出版社 (p.61-63),,,,,,,,chSR3b,,,,,,,,,,,,,,,,,
20 Chinese,Chinese,Senior,Chen 陳,Longing for Spring 思春,Selection from Chinese Classical Music for Piano – ShiDaiWenYi Publishing House 中国钢琴名曲曲库1 –时代文艺出版社 (p.64-69),,,,,,,,chSR4,,,,,,,,,,,,,,,,,
21 Chinese,Chinese,Elementary,Chen 陳,Festive Dance 军民联欢,"ZhongGuo ErTong GangQinQuXuan, SMPH 2J703, p.9, 8 bars 中国儿童钢琴曲选",,,,,,61chELE4,,,,,,,,,,,,,,,,,,,
22 Chinese,Chinese,Junior,Chen-Folk 陳,Moving River 浏阳河,"ZhongGuo ErTong GangQinQuXuan, SMPH 2J703, p.15 ( bars)中国儿童钢琴曲选",,,,,,62chJR1,,,,,,,,,,,,,,,,,,,
23 Chinese,Chinese,,Cheng 程,Two Parts Etude 二部练习曲,"ZhongGuoFengGeGangQinLianXiQu 60 Shou中国风格钢琴练习曲60首, ISBN 9787806927199 上海音乐学院出版社, P.9",chJR,,,,,,,,,,,,,,,,,,,,,,,,
24 Chinese,Chinese,Junior,Cheng-Folk,Jasmine Flower (Moderato) 茉莉花,,,,,,,,,chJR,,,,,,,,,,,,,,,,,
25 Chinese,Chinese,Junior,"Chen-Ru-Tao 陈,茹,陶",Roaring Train 友谊列车隆隆响,"ZhongGuo ErTong GangQinQuXuan, SMPH 2J703, p.25 ( bars)中国儿童钢琴曲选",,,,,,62chJR5,,,,,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,"Op.72 #3, 3 Ecossaises (complete)","At the Piano with Chopin, AP.2484",,,,,,,005C,,,,,,,,,,6C,,,,,,,,
,Polish ,Advanced,Chopin,Ballad Op.23 in G Minor,"Ballades, G.Henle #HN862, HL.51480862, P.1-15",,,,35rADV1,,,,,,,,,,,,,,,,,,,,,
,Polish ,Advanced,Chopin,Ballad Op.47 in A Flat Major,"Ballades, G.Henle #HN862, HL.51480862, P.26-38",,,,35rADV2,,,,,,,,,,,,,,,,,,,,,
,Polish ,Advanced,Chopin,Ballad Op.52 in F Minor,"Ballades, G.Henle #HN862, HL.51480862, P.39-55",,,,35rADV3,,,,,,,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,Albumleaf,"Chopin An Introduction to his piano works,Alfred 635, Op. Post in E Flat Major, p.18-19 no repeats but follow D.C. al Fine, 40 bars",,,,,,,004C,,,,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,"Allegretto in A Flat Major, #2 from Trois Nouvelles Etudes","Chopin Etuden, Henle #HN124, HL.51480124,",,,,,,,3rINT2,,,,,,,,,,,,,,7C,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,Etude in f minor #1 from Trois Nouvelles Etudes,"Chopin Etuden, Henle #HN124, HL.51480124,",,,,,,,3rINT1,,,,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Etude Op.25 #9 in G Flat Major,"Chopin Etuden, Henle #HN124, HL.51480124, p.100-101",,,14',,,35rADV5,,,,,rADV0,,rADV,,,rADV,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Etude Op.25 #11 in A Minor,"Chopin Etuden, Henle #HN124, HL.51480124, p.108-115",,,14',,,35rADV6,,,,,rADV0,,rADV,,,rADV,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Etude Op.10 #2 in A Minor,"Chopin Etuden, Henle #HN124, HL.51480124, p.18-21",,,,,,,3rADV1,,,,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Etude Op.10 #6 in E Flat Minor,"Chopin Etuden, Henle #HN124, HL.51480124, p.36-38",,,,,,,3rADV2,,,,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Etude Op.10 #9 F Minor,"Chopin Etuden, Henle #HN124, HL.51480124, p.48-51",,,,,,,3rADV3,,,,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Etude Op.10 #11 in E Flat Major,"Chopin Etuden, Henle #HN124, HL.51480124, p.57-59",,,,,,,3rADV4,,,,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Etude Op.25 #4 in C Major,"Chopin Etuden, Henle #HN124, HL.51480124, p.78-80",,,,,,35rADV3,,,,,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Etude Op.25 #8 in F Major,"Chopin Etuden, Henle #HN124, HL.51480124, p.97-99",,,,,,35rADV4,,,,,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Etude Op.10 #7 in C Major,"Chopin Etuden, Henle #HN124, HL.51480124,p.39-41",,,,,,35rADV1,,,,,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Etude Op.10 #8 in F Major,"Chopin Etuden, Henle #HN124, HL.51480124,p.42-47",,,14',,,35rADV2,,,,,rADV0,,rADV,,,rADV,,,,,,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,"Polonaise Posthumous in G Minor, Bl 1 ","Chopin Polonaise,p.114-115",,,,,,,,,4C,,,,,,4C,,,,,,,,,x,
16 Early Romantic,Polish ,Advanced,Chopin,Polonaise Op.53 in A Flat Major,"Chopin Polonaises, Henle #HN217, HL.51480217, p.60-73, after bar 99, go to bar 120 and continue",,,,,,,3rADV6,,,,,,,8C,rADV,,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Polonaise Op.26 #1 in C# Minor,"Chopin Polonaises, Henle #HN217, HL.51480217, p.7-12",,,,,,,3rADV5,,,,,,,,rADV,,,,,,,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,Prelude Op.28 #5 in D Major,"Chopin Preludes Urtext edition, HE.73, p.11",,,,,,33rINT4,,,,,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,Prelude op.28 #9 in E Major,"Chopin Preludes Urtext edition, HE.73, p.16",,,,,,33rINT5,,,,,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,Prelude Op.28 #10 in C# Minor,"Chopin Preludes Urtext edition, HE.73, p.17",,,,,,33rINT6,,,,,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,Prelude Op.28 #13 in F# Major,"Chopin Preludes Urtext edition, HE.73, p.22-23",,,,,,005C,,,,,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,Prelude Op.28 #1 in C Major,"Chopin Preludes Urtext edition, HE.73, p.6",,,,,,33rINT1,,,,,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,Prelude Op.28 #2 in A Minor,"Chopin Preludes Urtext edition, HE.73, p.7",,,,,,33rINT2,,,,,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,Prelude Op.28 #3 in G Major ,"Chopin Preludes Urtext edition, HE.73, p.8-9",,,,,,33rINT3,,5C,,,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,Waltz Op.69 #1 in A Flat Major (Fontana ver.) ,Chopin Waltzes Urtext p.56-59,,,,,X,,,,,,,,,,rSR,,,rINT,,,,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,Waltz Op.34 #2 in A Minor,"Chopin Waltzes, Henle #HN131, HL.51480131 p.19-23",,,,,,,3rINT3,,,,,,,,rSR,,,,,,,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,Waltz Op.64 #2 in C# Minor,"Chopin Waltzes, Henle #HN131, HL.51480131 p.42-47",,,,,,,3rINT4,,,,,,,,rSR,,,rINT,,,,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,Waltz Op.69 #2 in B Minor (Fontana ver.) ,"Chopin Waltzes, Henle #HN131, HL.51480131 p.63-67",,,,,,,3rINT5,,,,,,,,rSR,,,rINT,,,,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,Waltz Posthumous in E Minor,"Chopin Walzer, Henle #HN131, HL.51480131 p.88-91",,,,,,,3rINT6,,,,,,,,rSR,,,rINT,,,,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,Valse Op.34 #3 in F Major,"Chopin Walzer, Henle #HN131, HL.51480131, P.24-27",,2.5,,93pfINT1,,,,,5C,,,,,,,,,rINT,,,,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,Valse Op.64 #1 in D Flat Major,"Chopin Walzer, Henle #HN131, HL.51480131, P.38-41 Repeat bars 21-36 (with both endings)",,2,,93pfINT2,,,,,,,,5C,,,rSR,,,rINT,,,,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,Valse Op.64 #3 in A Flat Major,"Chopin Walzer, Henle #HN131, HL.51480131, P.48-53, 171 bars",,3,,005C,,,,,,,,,,,rSR,,,,,,,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,Valse Op.70 #1 in G Flat Major (Fontana ver.) ,"Chopin Walzer, Henle #HN131, HL.51480131, P.70-73",,2.5,,93pfINT3,,,,,,,5C,,,,rSR,,,rINT,,,,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,Valse Op.70 #2 in A Flat Major (Fontana ver.) ,"Chopin Walzer, Henle #HN131, HL.51480131, P.76-79",,3,,93pfINT4,,,,,,,,,,,rSR,,,rINT,,,,,,,
,Polish ,Intermediate,Chopin,Valse Op.70 #3 in D Flat Major,"Chopin Walzer, Henle #HN131, HL.51480131, P.80-81, repeat bars 49-56 (play both endings), with da Capo il Valzo, ends on second beat of bar 32.",,3,,93pfINT5,,,,,,,,,,,,,,,,,,,,,
,Polish ,Intermediate,Chopin,"Valse KK Iva #12 in E Major, BI 44","Chopin Walzer, Henle #HN131, HL.51480131, P.84-87 No repeat",,3,,93pfINT6,,,,,,,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Junior,Chopin,Waltz Posthumous in A Minor,"Piano Literature Book 4, Developing Artist Original Keyboard Classics, Faber #FF1282, HL.420239, p.94-96, 56 bars",,,,,003C,,,,,,,4C,,,,,,,,,,,4C,,
16 Early Romantic,Polish ,Senior,Chopin,Polonaise Op.26 #2 in E Flat Minor,"Polonaises, G. Henle #HN217, HL.51480217, P.13-23, No repeat and cut bars 105-152 (after bar 104 go to bar 153)",,,,34rSR1,,,,,,7C,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Senior,Chopin,Polonaise Op.40 #1 in A Major,"Polonaises, G. Henle #HN217, HL.51480217, P.24-31, No repeat and cut bars 25-40",,,,34rSR2,,,,,,,,7C,,,,,7C,,,,,,,,
16 Early Romantic,Polish ,Senior,Chopin,Polonaise Op.40 #2 in C Minor,"Polonaises, G. Henle #HN217, HL.51480217, P.32-39, No repeat and cut bars 19-34",,,,34rSR3,,,,,,6C,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Senior,Chopin,Polonaise Op.44 in F# Minor,"Polonaises, G. Henle #HN217, HL.51480217, P.40-59, (A) cut P.42-43 (go from bars 26 to bar 53) (B) cut bars 83-110 (go from bar 82 to 111) (C) cut bars 207-244, (skip from the last note of the right hand of bar 206  and pick up from the last note of right hand of bar 244)",,,,34rSR4,,,,,,8C,,,,,,,,,,,,,,,
,Polish ,Senior,Chopin,Polonaise Op.71 #1 in D Minor,"Polonaises, G. Henle #HN217, HL.51480217, P.92-97, No repeats, but follow D.C. al fine",,,,34rSR5,,,,,,,,,,,,,,,,,,,,,
,Polish ,Senior,Chopin,Polonaise Op.71 #2 in B Flat Major,"Polonaises, G. Henle #HN217, HL.51480217, P.98-103, No repeats, but follow D.C. al fine",,,,34rSR6,,,,,,,,,,,,,,,,,,,,,
,Polish ,Advanced,Chopin,Scherzo Op.31 in B Flat Minor,"Scherzi, G.Henle #HN279, HL.51480279, P.23-45 (Cut bars 265-365)",,,,35rADV5,,,,,,,,,,,,,,,,,,,,,
,Polish ,Advanced,Chopin,Scherzo Op.39 in C# Minor,"Scherzi, G.Henle #HN279, HL.51480279, P.46-61",,,,35rADV6,,,,,,,,,,,,,,,,,,,,,
,Polish ,Advanced,Chopin,Scherzo Op.20 in B Minor,"Scherzi, G.Henle #HN279, HL.51480279, P.5-22 No repeat",,,,35rADV4,,,,,,,,,,,,,,,,,,,,,
,Polish ,Intermediate,Chopin,Waltz Op.69 #1 Posthumous in A Flat Major (Eigenschrift),"The Romantic Era, An Introduction to the Piano Music, AP 467, p.40-43",,3.5,,,33rINT3,,,,,,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,Nocturne Posthumous in C Minor,"The Romantic Era, An Introduction to the Piano Music, AP 467, p.44-47",,3.5,,,33rINT4,,,,,,rSR,,rSR,,,,,,,,,,,,
16 Early Romantic,Polish ,Senior,Chopin,Prelude Op.28 #23 in F Major,"Urtext HN 131, p.46-47 ",,,,,,,,,,,,,,,6C,,,,,,,,,,
16 Early Romantic,Polish ,Concerto Adv,Chopin,Allegro vivace (3rd mvt) from Op.21 Concerto #2 in F Minor,,,9,,toADV13,,,,toADV,toADV,toADV,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Andante spianato Op.22 in G Major,,,,,,,,,,,,,,,,rADV,,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Berceuse Op.57 in D Flat Major,,,,,,,,,,rADV,,,,,,rADV,& 8C,,,,,,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,Contredanse in G Major,,,,,,,,,,,,,,rINT,,,,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Etude Op.10 #1 in C Major,,,,14',,,,,,,,rADV,,,,,rADV,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Etude Op.10 #12 in C Minor,,,,14',,,,,,,,rADV,,rADV,,,rADV,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Etude Op.10 #3 in E Major,,,,14',,,,,,,,rADV,,rADV,,,rADV,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Etude Op.10 #4 in C# Minor,,,,14',,,,,,,,rADV,,rADV,,,rADV,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Etude Op.10 #5 in G Flat Major,,,,14',,,,,,,,rADV,,rADV,,,rADV,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Etude Op.10 & Op.25 (total 24 etudes)Any ,,,,,,,,,,,,,,,,,rADV,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Etude Op.25 #1 in A Flat Major,,,,14',,,,,,,,rADV,,rADV,,,rADV,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Etude Op.25 #12 in C Minor,,,,14',,,,,,,,rADV,,rADV,,,rADV,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Etude Op.25 #2 in F Minor,,,,14',,,,,,,,rADV,,,,,rADV,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Etude Op.25 #6 in G# Minor,,,,14',,,,,,,,rADV,,rADV,,,rADV,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Fantasie-Impromptu Op.66 in C# Minor,,,,,,,,,,,,,,,,rADV,,,,8C,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Finale-Presto (4th mvt) from Sonata Op.35 in B Flat Minor,,,,,,,,,,rADV,,,,,,rADV,,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Grave-Doppiofrom (1st mvt) from Sonata Op.35 in B Flat Minor,,,,,,,,,,rADV,,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Concerto Sr,Chopin,Larghetto (2nd mvt) in A Flat Major from Concerto #2 Op.21 in F Minor,,,9,,toSR14,,,,toSR,toSR,toSR,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Advanced,Chopin,Largo in B Major from Sonata Op.58 in B Minor,,,,,,,,,,rADV,,,,,,rADV,,,,,,,,,,
16 Early Romantic,Polish ,Concerto Adv,Chopin,Maestoso (1st mvt) from Op.11 Concerto #1 in E Minor ,,,19,,toADV09,,,,toADV,toADV,toADV,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Concerto Adv,Chopin,Maestoso (1st mvt) from Op.21 Concerto #2 in F Minor,,,15,,toADV12,,,,toADV,toADV,toADV,,,,,,,,,,,,,,,
16 Early Romantic,Polish ,Intermediate,Chopin,Mazurka Op.06 #3 in E Major,,,,,,,,,,,,,,,,rINT,,,,,,,,,,
